country.x,dataset_key.x,dataset_party_id.x,name_short.x,name_english.x,year_first.x,year_last.x,share.x,share_year.x,partyfacts_id,country.y,dataset_key.y,dataset_party_id.y,name_short.y,name_english.y,year_first.y,year_last.y,share.y,share_year.y
ALB,vparty,838,PSD,Social Democratic Party of Albania,1997,2005,12.7,2005,838,ALB,cses,80005,PSD,Social Democratic Party,2005,2005,6.9,2005
ALB,vparty,840,PA,Agrarian Party,2005,2005,6.6,2005,840,ALB,cses,80031,PAA,Agrarian Party,2005,2005,3.5,2005
ESP,vparty,848,ERC,Republican Left of Catalonia,1931,2019,7.9,1936,848,ESP,cses,7240009,ERC,Republican Left of Catalonia,1996,2008,3.1,2008
ITA,vparty,851,FdV,Federation of the Greens,1996,2006,2.5,1996,851,ITA,cses,3800005,FdV,Federation of the Greens,2006,2006,2.8,2006
LVA,vparty,852,V,Unity,2010,2018,31.9,2010,852,LVA,cses,4280002,V,Unity,2010,2014,34.2,2010
POL,vparty,863,AWS,Solidarity Electoral Action of the Right,1997,2001,33.8,1997,863,POL,cses,6160004,AWSP,Solidarity Electoral Action,1997,2001,38.2,1997
ITA,vparty,878,DS,Democrats of the Left,2001,2001,16.6,2001,878,ITA,cses,3800011,DS,Democrats of the Left,2006,2006,,
FIN,vparty,901,KESK,Agrarian Union / Centre Party,1907,2019,27.3,1930,901,FIN,cses,2460001,KESK,Center Party,2003,2015,23.6,2015
HUN,vparty,910,SzDSz,Alliance of Free Democrats,1990,2006,21.4,1990,910,HUN,cses,3480008,SZDSZ,Alliance of Free Democrats,1998,2002,7.7,1998
POL,vparty,919,SD,Democratic Party,1952,1989,8.5,1957,919,POL,cses,6160051,PD,Democratic Party,2005,2005,1.4,2005
IRL,vparty,924,PD,Progressive Democrats,1987,1989,11.8,1987,924,IRL,cses,3720006,PD,Progressive Democrats,2002,2007,,
CHL,vparty,928,RN,National Renewal,1989,2017,18.3,1989,928,CHL,cses,1520003,RN,National Renewal,2005,2009,28,2009
CAN,vparty,931,GPC,Green Party of Canada,2008,2019,6.8,2008,931,CAN,cses,1240005,GP,Green Party,2004,2015,,
NZL,vparty,940,UFNZ,United Future New Zealand,2002,2002,6.7,2002,940,NZL,cses,5540006,UFNZ,United Future New Zealand,2002,2014,7.3,2002
ISR,vparty,953,HH,National Union,2003,2006,7.1,2006,953,ISR,cses,3760049,HaLe,National Union,2003,2003,6.2,2003
ISR,vparty,7913,Tkuma,National Union–Tkuma,2019,2019,,2019,953,ISR,cses,3760049,HaLe,National Union,2003,2003,6.2,2003
ISL,vparty,964,F,Progressive Party,1919,2017,35.9,1931,964,ISL,cses,3520003,F,Progressive Party,1999,2013,23.6,2013
GRC,vparty,965,LAOS,Popular Orthodox Rally,2009,2009,5.6,2009,965,GRC,cses,3000019,La.O.S,Popular Orthodox Rally,2009,2009,3.3,2009
SVN,vparty,975,LDS,Liberal Democracy of Slovenia,1990,2008,36.3,2000,975,SVN,cses,7050004,LDS,Liberal Democracy of Slovenia,1996,2011,32,1996
BGR,vparty,982,DPS,Movement for Rights and Freedoms,1990,2017,14.8,2014,982,BGR,cses,1000003,DPS,Movement for Rights and Freedoms,2001,2014,10.4,2014
GBR,vparty,986,SNP,Scottish National Party,2019,2019,3.9,2019,986,GBR,cses,8260004,SNP,Scottish National Party,1997,2015,,
AUS,vparty,990,AD,Australian Democrats,1977,2001,11.3,1990,990,AUS,cses,360004,AD,Australian Democrats,1996,2004,,
CAN,vparty,1004,CPC,Conservative Party of Canada (2003),2004,2019,39.6,2011,1004,CAN,cses,1240002,CP,Conservative Party,2004,2015,,
CHE,vparty,1006,Grue,Green Party,1991,2019,13.2,2019,1006,CHE,cses,7560005,GPS / PES,Green Party,1999,2011,10,2007
CZE,vparty,1008,ODA,Civic Democratic Alliance,1992,1996,6.4,1996,1008,CZE,cses,2030011,ODA,Civic Democratic Alliance,1996,2002,9.7,1996
BRA,vparty,1009,PDT,Democratic Labour Party,1982,2018,10,1990,1009,BRA,cses,760011,PDT,Labor Democratic Party,2002,2014,2.7,2010
DNK,vparty,1022,DF,Danish Peoples Party,1998,2019,20.6,2015,1022,DNK,cses,2080010,DF,Danish People's Party,1998,2007,10.9,2001
ROU,vparty,1034,PSDR,Romanian Social Democratic Party,1946,2000,2.9,1992,1034,ROU,cses,6420052,PSDR,Romanian Social Democratic Party,1996,1996,2.8,1996
ISR,vparty,1036,L,Likud-National Liberal Movement,1965,2019,37.1,1981,1036,ISR,cses,3760001,L,Likud - The Consolidation,1996,2006,25.8,1996
ZAF,vparty,1038,DA,Democratic Alliance,2004,2019,22.2,2014,1038,ZAF,cses,7100002,DA,Democratic Alliance,2009,2014,23.4,2014
EST,vparty,1040,EER,Estonian Greens,2007,2007,7.1,2007,1040,EST,cses,2330005,EER,Estonian Greens,2011,2011,4.1,2011
FIN,vparty,7548,vas.,Left Alliance,2019,2019,8.3,2019,1044,FIN,cses,2460006,VAS,Left Alliance,2003,2015,9.4,2003
NZL,vparty,1049,LP,Labour Party,1911,2017,55.8,1938,1049,NZL,cses,5540002,Lab,Labor Party,1996,2014,45.6,2002
ISR,vparty,1053,YB,Israel for Immigration,1996,1999,5.7,1996,1053,ISR,cses,3760067,YBA,Israel for Immigration,1996,2003,6.2,1996
IRL,vparty,1055,FF,Fianna Fail – The Republican Party,1921,2016,51.9,1938,1055,IRL,cses,3720001,FF,Fianna Fail,2002,2011,,
LVA,vparty,1056,SC,Harmony Centre,2006,2018,28.4,2011,1056,LVA,cses,4280001,SC,Harmony Centre,2010,2014,30.2,2011
TUR,vparty,1060,CHP,Republican Peoples Party,1927,2018,100,1927,1060,TUR,cses,7920002,CHP,Republican People's Party,2011,2015,27.5,2015
NOR,vparty,1072,Sp/Bp,Centre [Agrarian] Party,1921,2017,16.7,1993,1072,NOR,cses,5780006,Sp,Center Party,1997,2013,7.8,1997
ISR,vparty,1075,YH,United Torah Judaism,2013,2019,6.1,2019,1075,ISR,cses,3760006,YH,United Torah Judaism,1996,2013,7.2,1996
NZL,vparty,1099,Greens,Green Party,1990,2017,11.1,2011,1099,NZL,cses,5540005,GP,Green Party,2002,2014,12.9,2011
JPN,vparty,1100,PPLF,Putting People's Lives First,2012,2012,5.7,2012,1100,JPN,cses,3920011,PLP,People's Life Party,2013,2013,,
POL,vparty,1104,UP,Labour Union,1993,1993,7.3,1993,1104,POL,cses,6160007,UP,Labor Union,1997,1997,3.3,1997
ROU,vparty,1105,UDMR / DAHR /  RMDSZ,Democratic Union of Hungarians in Romania / Democratic Alliance of Hungarians in Romania,1990,2016,7.5,1992,1105,ROU,cses,6420003,UDMR,Democratic Union of Hungarians in Romania,1996,2004,6.3,2004
TWN,vparty,1112,KMT,Nationalist Party,1969,2016,90.5,1986,1112,TWN,cses,1580002,KMT,Kuomintang of China,2012,2012,47.9,2012
POL,vparty,1117,PO,Civic Platform,2001,2019,41.5,2007,1117,POL,cses,6160001,PO,Civic Platform,2001,2011,51.7,2007
EST,vparty,1150,SDE-M,Social Democratic Party -- Moderates,1992,2019,17.1,2011,1150,EST,cses,2330003,SDE,Social Democratic Party,2011,2011,23,2011
NLD,vparty,1157,CDA,Christian Democratic Appeal,1977,2017,35.3,1989,1157,NLD,cses,5280001,CDA,Christian Democratic Appeal,1998,2010,27.8,2002
GRC,vparty,1160,DIMAR,Democratic Left,2012,2012,6.3,2012,1160,GRC,cses,3000012,DIMAR,Democratic Left,2012,2012,12.8,2012
AUS,vparty,1162,ONP,One Nation Party,1998,1998,8.4,1998,1162,AUS,cses,360008,ONP,One Nation Party,2004,2004,,
NOR,vparty,1173,V,Liberal Party of Norway,1900,2017,56.9,1912,1173,NOR,cses,5780008,V,Liberal Party,1997,2013,7.5,2013
BGR,vparty,1183,ODS,United Democratic Forces,1997,2005,49.1,1997,1183,BGR,cses,1000034,UDF,United Democratic Forces,2001,2001,16.1,2001
LTU,vparty,1185,LCS,Center Union of Lithuania,1996,1996,8.7,1996,1185,LTU,cses,4400006,LCS,Center Union,1997,1997,,
CZE,vparty,1202,VV,Public Affairs,2010,2010,10.9,2010,1202,CZE,cses,2030014,VV,Public Affairs,2010,2010,12.7,2010
DNK,vparty,1204,V,Liberal Party,1901,2019,47.1,1903,1204,DNK,cses,2080002,V,Liberal Party,1998,2007,34.4,2001
AUS,vparty,1209,AG,Australian Greens,2001,2019,11.8,2010,1209,AUS,cses,360005,AG,Australian Greens,1996,2013,,
ZAF,vparty,1219,ANC,African National Congress,1994,2019,69.7,2004,1219,ZAF,cses,7100001,ANC,African National Congress,2009,2014,66.5,2014
ITA,vparty,1221,LN,North League,1992,2018,17.4,2018,1221,ITA,cses,3800003,LN,Northern League/League,2006,2006,3.1,2006
ISL,vparty,1224,Ff,Liberal Party,2003,2007,7.4,2003,1224,ISL,cses,3520004,FF,Liberal Party,1999,2009,8.1,2003
FIN,vparty,1229,RKP,Swedish People's Party,1907,1999,13.5,1910,1229,FIN,cses,2460008,RKP - SFP,Swedish People's Party in Finland,2003,2015,10.5,2007
NLD,vparty,1234,PvdA,Labour,1946,2017,33.8,1977,1234,NLD,cses,5280002,PvdA,Labor Party,1998,2010,29.4,1998
MEX,vparty,1241,PT,Labor Party,2006,2018,3.9,2018,1241,MEX,cses,4840004,PT,Labor Party,1997,2015,,
SVK,vparty,1242,SDL,Party of the Democratic Left (1990),1994,1998,14.7,1998,1242,SVK,cses,7030016,SDL,Party Of The Democratic Left,2010,2010,1.3,2010
FRA,vparty,1251,PCF,French Communist Party,1924,2012,28.6,1946,1251,FRA,cses,2500004,PCF,French Communist Party,2002,2007,,
SWE,vparty,1274,FP,The Liberals/The People’s Party,1936,2018,24.4,1952,1274,SWE,cses,7520003,FP,Liberal People's Party,1998,2014,18.1,2002
IRL,vparty,1288,FG,Fine Gael (Familiy of the Irish),1937,2016,39.2,1982,1288,IRL,cses,3720002,FG,Fine Gael,2002,2011,,
HUN,vparty,1294,FKgP,Independent Smallholders Party (1988),1944,1998,24.8,1944,1294,HUN,cses,3480013,FKgP,Independent Small Holders Party,1998,2002,13.5,1998
FIN,vparty,1303,SSDP,Social Democratic Party of Finland,1907,2019,47.3,1916,1303,FIN,cses,2460002,SDP,Social Democratic Party of Finland,2003,2015,27,2003
ROU,vparty,1305,PRM,Greater Romania Party,2000,2004,19.5,2000,1305,ROU,cses,6420004,PRM,Greater Romania Party,1996,2004,6.5,2004
PRT,vparty,1308,CDS / PP,Democratic and Social Center / People's Party,1975,2011,16.8,1976,1308,PRT,cses,6200003,CDS-PP,Popular Party,2002,2009,7.3,2009
PRT,vparty,1310,BE,Left Bloc,2005,2019,10.6,2015,1310,PRT,cses,6200006,BE,Left Block,2002,2015,10.7,2015
AUT,vparty,1329,OVP,Austrian People's Party,1945,2019,49.8,1945,1329,AUT,cses,400002,OVP,Austrian People's Party,2008,2013,33.7,2008
MEX,vparty,1331,C/MC,Convergence / Citizens' Movement,2006,2018,6.1,2015,1331,MEX,cses,4840007,MC,Citizen's Movement,2003,2015,,
ESP,vparty,1338,PSOE,Spanish Socialist Workers Party,1918,2019,48.3,1982,1338,ESP,cses,7240001,PSOE,Spanish Socialist Workers' Party,1996,2008,53.8,2008
ROU,vparty,1347,PSD+PUR,National Union PSD+PUR,2004,2004,36.8,2004,1347,ROU,cses,6420041,PSD - PUR,National Alliance PSD+PUR,2004,2004,37.5,2004
PRT,vparty,1359,PPD/PSD,Popular Democratic Party / Social Democratic Party,1975,2019,51.6,1991,1359,PRT,cses,6200001,PSD,Social Democratic Party,2002,2009,40.7,2002
NLD,vparty,1363,SP,Socialist Party,2002,2017,16.6,2006,1363,NLD,cses,5280006,SP,Socialist Party,1998,2010,17.5,2006
DEU,vparty,1375,CDU,Christian Democratic Union,1949,2017,39.7,1957,1375,DEU,cses,2760002,CDU,Christian Democratic Party,1998,2013,,
AUT,vparty,1384,SPO,Social Democratic Party of Austria,1919,2019,51,1979,1384,AUT,cses,400001,SPO,Social Democratic Party of Austria,2008,2013,36,2008
SVK,vparty,1386,SaS,Freedom and Solidarity,2010,2016,12.1,2010,1386,SVK,cses,7030002,SaS,Freedom and Solidarity,2010,2016,11.5,2016
GBR,vparty,1388,LD,Liberal Democrats,2017,2019,11.5,2019,1388,GBR,cses,8260003,LD,Liberal Democrats,1997,2015,,
ISL,vparty,1396,Sam,Social Democratic Alliance,1999,2017,31,2003,1396,ISL,cses,3520002,Sam,Social Democratic Alliance,1999,2013,32.1,2003
SVN,vparty,1403,SD / ZLSD,Social Democrats / United List of Social Democrats,1990,2018,30.4,2008,1403,SVN,cses,7050002,SD,Social Democrats,1996,2011,58.8,2008
ITA,vparty,1404,PRC,Communist Refoundation Party,1992,2006,8.6,1996,1404,ITA,cses,3800013,PRC,Communist Refoundation Party,2006,2006,8.3,2006
HUN,vparty,1408,MSZP,Hungarian Socialist Party,1990,2018,43.2,2006,1408,HUN,cses,3480001,MSZP,Hungarian Socialist Party,1998,2002,46,2002
HUN,vparty,1412,KDNP,Christian Democratic People's Party,1947,2018,16.5,1947,1412,HUN,cses,3480032,KDNP,Christian Democratic People's Party,1998,1998,2.5,1998
CHE,vparty,1415,BDP,Conservative Democratic Party of Switzerland,2011,2011,5.4,2011,1415,CHE,cses,7560025,BDP / PBD,Conservative Democratic Party,2011,2011,4.7,2011
URY,vparty,1419,PC,Colorado Party,1916,2019,76.4,1917,1419,URY,cses,8580003,,Colorado Party,2009,2009,13.5,2009
BEL,vparty,1424,VU,People's Union [Flemish Concentration],1965,1999,11.1,1971,1424,BEL,cses,560015,VU,People's Union,1999,1999,4.5,1999
CAN,vparty,1428,BQ,Quebec Bloc,1993,2019,13.5,1993,1428,CAN,cses,1240004,BQ,Bloc Quebecois,1997,2015,,
HRV,vparty,1431,HDZ,Croatian Democratic Union,1992,2016,45.2,1995,1431,HRV,cses,1910001,HDZ,Croatian Democratic Union,2007,2007,38.4,2007
ROU,vparty,1443,PC / PUR,Conservative Party / Romanian Humanist Party,2000,2012,3.2,2012,1443,ROU,cses,6420024,PUR,Romanian Humanist Party,2004,2004,,
ISR,vparty,1447,Mafdal,National Religious Party,1955,1996,9.9,1959,1447,ISR,cses,3760014,Mafdal,National Religious Party,1996,2003,7.8,1996
ROU,vparty,1451,PUNR,Romanian National Unity Party,1992,1992,7.7,1992,1451,ROU,cses,6420028,PUNR,Romanian Party for National Unity,1996,1996,,
GRC,vparty,1468,PASOK,Panhellenic Socialist Movement,1974,2019,48.1,1981,1468,GRC,cses,3000001,PASOK,Pan-Hellenic Socialist Movement,2009,2015,49.8,2009
MEX,vparty,1474,PRI,Institutional Revolutionary Party,1940,2018,99.4,1940,1474,MEX,cses,4840001,PRI,Institutional Revolutionary Party,1997,2015,,
HRV,vparty,1475,SDP,Social Democratic Party of Croatia,1992,2016,40.4,2011,1475,HRV,cses,1910002,SDP,Social Democratic Party of Croatia,2007,2007,32.8,2007
LVA,vparty,1476,ZRP,Zatlers' Reform Party,2011,2011,20.8,2011,1476,LVA,cses,4280007,RP,Reform Party,2011,2011,19.9,2011
FRA,vparty,1478,PS,Socialist Party,1902,2017,36,1981,1478,FRA,cses,2500002,PS,Socialist Party,2002,2012,,
DNK,vparty,1507,RV,Danish Social-Liberal Party / Radical Liberal Party,1906,2019,27.2,1915,1507,DNK,cses,2080006,RV,Danish Social Liberal Party,1998,2007,5.5,2001
JPN,vparty,1515,K,Clean Government Party / New Komeito,1967,2017,14.8,2003,1515,JPN,cses,3920003,NK,New Komeito,2004,2013,,
GBR,vparty,1516,Lab,Labour,1906,2019,48.8,1951,1516,GBR,cses,8260002,Lab,Labor,1997,2015,,
DNK,vparty,1527,Enh,Red-Green Alliance,2011,2019,7.6,2015,1527,DNK,cses,2080005,En - O,United List - Red-Greens,1998,2007,3.3,2007
NLD,vparty,1528,LPF,Fortuyn List,2002,2003,17,2002,1528,NLD,cses,5280014,LPF,List Pim Fortuyn,2002,2006,10.7,2002
BRA,vparty,1536,PFL,Liberal Front / Democrats,1986,2018,17.7,1986,1536,BRA,cses,760009,DEM,Democrats,2002,2014,50.9,2006
NLD,vparty,1537,GL,GreenLeft,1998,2017,9.1,2017,1537,NLD,cses,5280005,GL,Green Left,1998,2010,9.5,2002
DEU,vparty,1545,Linke,The Left,2009,2017,11.9,2009,1545,DEU,cses,2760007,DIE LINKE,Left Party,1998,2013,14.8,2009
CZE,vparty,1554,SZ,Green Party,2006,2006,6.3,2006,1554,CZE,cses,2030005,SZ,Green Party,2002,2013,9.8,2006
ALB,vparty,1558,PDR,New Democratic Party,2005,2005,7.4,2005,1558,ALB,cses,80030,PDR,New Democratic Party,2005,2005,1.7,2005
BEL,vparty,1563,Ecolo,Confederated ecologists for the organisation of original struggles,1991,2019,7.3,1999,1563,BEL,cses,560013,ECOLO,Confederated Ecologists,1999,2003,10.8,1999
POL,vparty,1565,PiS,Law and Justice,2001,2019,43.6,2019,1565,POL,cses,6160002,PiS,Law and Justice,2001,2011,35.2,2005
GBR,vparty,1567,Con,Conservatives,1900,2019,55,1931,1567,GBR,cses,8260001,Con,Conservatives,1997,2015,,
POL,vparty,1588,LiD,Left and Democrats,2007,2007,13.2,2007,1588,POL,cses,6160020,LiD,Left and Democrats,2007,2007,8.5,2007
FRA,vparty,1595,UMP,Union for a Popular Movement,2002,2017,39.5,2007,1595,FRA,cses,2500001,UMP,Union for a Popular Movement,2007,2012,,
TWN,vparty,1596,DDP,Democratic Progressive Party,1986,2016,44.1,2016,1596,TWN,cses,1580001,DPP,Democratic Progressive Party,2012,2012,29.8,2012
HUN,vparty,1597,MIEP,Hungarian Justice and Life Party,1998,1998,5.5,1998,1597,HUN,cses,3480004,MIEP,Hungarian Justice and Life Party,1998,2002,3.3,1998
CHL,vparty,1599,UDI,Independent Democratic Union,1989,2017,25.2,2001,1599,CHL,cses,1520002,UDI,Independent Democratic Union,2005,2009,18.3,2009
DNK,vparty,1601,FrP,Progress Party,1973,1994,15.9,1973,1601,DNK,cses,2080003,FrP,Progress Party,1998,2001,2.2,1998
TUR,vparty,1610,MHP,Nationalist Movement [Action] Party,1961,2018,18,1999,1610,TUR,cses,7920003,MHP,Nationalist Action Party,2011,2015,14.8,2015
SVK,vparty,1617,SDKU-DS,Slovak Democratic and Christian Union – Democratic Party,2002,2012,18.4,2006,1617,SVK,cses,7030003,SDKU - DS,Slovak Democratic and Christian Union - Democratic Party,2010,2016,16.9,2010
SVN,vparty,1618,NSi,New Slovenia -- Christian People's Party,1990,2018,14.5,1992,1618,SVN,cses,7050007,NSi,New Slovenia - Christian People's Party,2004,2011,5.7,2004
ITA,vparty,1626,FI,Go Italy,1994,2006,29.4,2001,1626,ITA,cses,3800002,Forza Italia-FI,Forward Italy (Forza Italia),2006,2006,20.8,2006
ZAF,vparty,1630,IFP,Inkatha Freedom Party,1994,2004,10.5,1994,1630,ZAF,cses,7100004,IFP,Inkatha Freedom Party,2009,2014,1.8,2009
ITA,vparty,1635,PdCI,Party of Italian Communists,2006,2006,2.3,2006,1635,ITA,cses,3800009,PdCI,Party of Italian Communists,2006,2006,2.5,2006
ALB,vparty,1636,PBDN,Unity for Human Rights Party,2009,2009,1.2,2009,1636,ALB,cses,80033,PBDNj,Human Rights Union Party,2005,2005,3.4,2005
GRC,vparty,1651,ANEL,Independent Greeks,2012,2012,7.5,2012,1651,GRC,cses,3000007,ANEL,The Independent Greeks,2012,2015,7.7,2012
CZE,vparty,1657,SPR–RSČ,Coalition for Republic – Republican Party of Czechoslovakia,1992,1996,8,1996,1657,CZE,cses,2030018,SPR-RSC,Association for the Republic - Czech Republican Party,1996,1996,6.7,1996
URY,vparty,1658,FA/EP,Broad Front / Progressive Encounter,1971,2019,51.7,2004,1658,URY,cses,8580001,FA,Broad Front,2009,2009,57.5,2009
AUT,vparty,1659,GRUENE,The Greens -- The Green Alternative,1994,2019,13.9,2019,1659,AUT,cses,400005,GRUENE,The Greens - The Green Alternative,2008,2013,17.4,2013
GRC,vparty,1660,LS/CA,People’s Association / Golden Dawn,2012,2015,7,2015,1660,GRC,cses,3000006,LS - XA,Golden Dawn,2012,2015,5.5,2012
BGR,vparty,1665,KzB/BSP,Coalition for Bulgaria -- Democratic Left,1991,2017,43.5,1994,1665,BGR,cses,1000020,KzB | DL,BSP Left Bulgaria - Coalition for Bulgaria,2014,2014,24.5,2014
BGR,vparty,1665,KzB/BSP,Coalition for Bulgaria -- Democratic Left,1991,2017,43.5,1994,1665,BGR,cses,1000200,CB - KzB,Coalition For Bulgaria,2001,2001,14.8,2001
BEL,vparty,1680,SPA,Socialist Party Differently,1978,2019,14.9,1987,1680,BEL,cses,560005,SP.A,Socialist Party Differently,1999,2003,26.9,2003
FIN,vparty,1689,SP / P,Finnish Party / True Finns,2011,2015,19.1,2011,1689,FIN,cses,2460004,PS,True Finns,2003,2015,18,2011
FIN,vparty,7547,PS,Finns Party,2019,2019,17.5,2019,1689,FIN,cses,2460004,PS,True Finns,2003,2015,18,2011
HUN,vparty,1691,Fidesz,Fidesz – Hungarian Civic Alliance,1990,2018,59.4,2018,1691,HUN,cses,3480002,Fidesz - MPP,Fidesz-Hungarian Civic Party Alliance Party,1998,1998,30,1998
HUN,vparty,1697,MDF,Hungarian Democratic Forum,1990,2006,24.7,1990,1697,HUN,cses,3490007,MDF,Hungarian Democratic Forum,1998,1998,2.2,1998
ITA,vparty,1711,RnP,Rose in the Fist,2006,2006,2.6,2006,1711,ITA,cses,3800014,,Rose in the Fist,2006,2006,3.3,2006
POL,vparty,1712,ROP,Movement for the Reconstruction of Poland,1997,1997,5.6,1997,1712,POL,cses,6160010,ROP,Movement for Reconstruction of Poland,1997,1997,5,1997
ROU,vparty,1715,PD,Democratic Party,1990,2004,66.3,1990,1715,ROU,cses,6420019,PD,Democratic Party,1996,1996,2.6,1996
ARG,vparty,1724,UCR,Radical Civic Union,1912,2019,61.7,1928,1724,ARG,cses,320008,UCR,Radical Civic Union,2015,2015,,
CZE,vparty,1728,KSCM,Communist Party of Bohemia and Moravia,1992,2017,18.5,2002,1728,CZE,cses,2030004,KSCM,Communist Party of Bohemia and Moravia,1996,2013,19.9,2002
ALB,vparty,1729,PSS,Socialist Party of Albania,1991,2017,56.2,1991,1729,ALB,cses,80001,PS,Socialist Party,2005,2005,23.5,2005
DEU,vparty,1731,CSU,Christian Social Union,1949,2017,10.6,1976,1731,DEU,cses,2760003,CSU,Christian Social Union in Bavaria,1998,2013,,
ITA,vparty,1737,Ulivo,The Olive Tree,1996,2006,31.3,2006,1737,ITA,cses,3800038,Ulivo,The Olive,2006,2006,31.8,2006
CAN,vparty,1739,LP,Liberal Party of Canada,1900,2019,52,1904,1739,CAN,cses,1240001,LIB,Liberal Party,1997,2015,,
TUR,vparty,1740,DSP,Democratic Left Party,1987,1999,22.2,1999,1740,TUR,cses,7920012,DSP,Democratic Left Party,2011,2011,,
AUS,vparty,1743,ACP-NPA,Australian Country Party / National Party of Australia,1922,2007,12.6,1922,1743,AUS,cses,360002,NPA,National Party of Australia,1996,2013,,
JPN,vparty,1746,LDP,Liberal Democratic Party,1958,2017,59,1958,1746,JPN,cses,3920001,LDP,Liberal Democratic Party,1996,1996,41,1996
ROU,vparty,1750,PNT-CD,Christian-Democratic National Peasants' Party,1992,2012,24.2,1996,1750,ROU,cses,6420007,PNT-CD,National Peasant and Christian Democratic Party,1996,2004,1.4,2004
CAN,vparty,1757,RPC,Reform Party of Canada,1993,2000,25.5,2000,1757,CAN,cses,1240007,RPC,Reform Party,1997,1997,,
ITA,vparty,1758,UDC,Union of Christian and Centre Democrats,2006,2008,6.8,2006,1758,ITA,cses,3800012,UDC,Union of Christian and Centre Democrats,2006,2006,6.3,2006
CHE,vparty,1759,GPL,Green Liberal Party,2011,2019,7.8,2019,1759,CHE,cses,7560021,GLP / PVL,Green Liberal Party,2011,2011,5.6,2011
POL,vparty,1768,LPR,League of Polish Families,2001,2005,8,2005,1768,POL,cses,6160014,LPR,League of Polish Families,2001,2007,6.8,2001
SVN,vparty,1773,LZJPS,Zoran Janković's List – Positive Slovenia,2011,2011,28.5,2011,1773,SVN,cses,7050016,LZJ-PS,Zoran Jankovic List - Positive Slovenia,2011,2011,25.8,2011
JPN,vparty,1777,YP,Your Party,2012,2012,8.7,2012,1777,JPN,cses,3920010,YP,Your Party,2013,2013,,
LVA,vparty,1789,LNNK,Latvian National Independence Movement,1993,1995,13.3,1993,1789,LVA,cses,4280003,LNNK,National Union All for Latvia For Fatherland and Freedom,2010,2014,15.9,2014
ARG,vparty,1790,PRO,Republican Proposal,2005,2019,21.4,2017,1790,ARG,cses,320007,PRO,Republican Proposal,2015,2015,,
